"aid","tid","gid","wid","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"1","16","1322","21","1","0","0.0000","0","0","1","1.0000","1","1"
"1","16","1387","17","2","4","2.0000","3","1","0","0.0000","0","0"
"1","16","1413","21","1","4","4.0000","4","4","0","0.0000","0","0"
"1","16","1430","17","1","1","1.0000","1","1","0","0.0000","0","0"
"1","16","1430","18","1","2","2.0000","2","2","0","0.0000","0","0"
"1","16","1550","21","1","0","0.0000","0","0","4","4.0000","4","4"
"1","16","1573","17","1","2","2.0000","2","2","0","0.0000","0","0"
"1","16","1714","21","1","8","8.0000","8","8","0","0.0000","0","0"
"1","16","1756","21","1","4","4.0000","4","4","3","3.0000","3","3"
"1","16","1835","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","16","1861","17","3","2","0.6667","2","0","1","0.3333","1","0"
"1","16","1864","21","1","0","0.0000","0","0","7","7.0000","7","7"
"1","16","1907","20","1","1","1.0000","1","1","3","3.0000","3","3"
"1","16","1934","21","2","35","17.5000","18","17","30","15.0000","15","15"
"1","16","2149","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","16","2149","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","16","2149","21","11","7","0.6364","2","0","22","2.0000","6","0"
"1","16","2149","23","1","0","0.0000","0","0","0","0.0000","0","0"
"1","17","9","17","1","1","1.0000","1","1","0","0.0000","0","0"
"1","17","316","18","1","0","0.0000","0","0","1","1.0000","1","1"
"1","17","754","17","1","4","4.0000","4","4","1","1.0000","1","1"
"1","17","898","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","17","1129","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","17","1156","20","1","0","0.0000","0","0","0","0.0000","0","0"
"1","17","1293","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","17","1300","17","1","2","2.0000","2","2","3","3.0000","3","3"
"1","17","1318","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","17","1387","17","4","0","0.0000","0","0","1","0.2500","1","0"
"1","17","1417","28","1","0","0.0000","0","0","0","0.0000","0","0"
"1","17","1422","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","17","1430","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","17","1611","17","1","0","0.0000","0","0","1","1.0000","1","1"
"1","17","1675","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","17","1760","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","17","1810","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","17","2149","17","3","2","0.6667","2","0","0","0.0000","0","0"
"1","17","2149","20","3","3","1.0000","3","0","6","2.0000","6","0"
"1","17","2149","21","12","12","1.0000","6","0","2","0.1667","1","0"
"1","19","699","17","1","11","11.0000","11","11","16","16.0000","16","16"
"1","19","729","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","19","1195","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","19","1387","17","1","1","1.0000","1","1","1","1.0000","1","1"
"1","19","1810","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","19","1975","21","4","20","5.0000","8","1","6","1.5000","3","0"
